iter	Accuracy	Logloss
0	0.811803745	0.6790777933
1	0.8174922968	0.6651367043
2	0.8189144347	0.6530516454
3	0.8165442048	0.641270085
4	0.8189144347	0.6305940343
5	0.8182033657	0.6197298006
6	0.8163071818	0.6091936718
7	0.8167812278	0.5986237941
8	0.8234178715	0.5880409489
9	0.8224697796	0.577774615
10	0.8224697796	0.5698350679
11	0.8229438256	0.5607358628
12	0.8222327566	0.5539287602
13	0.8224697796	0.5470097644
14	0.8224697796	0.5387114648
15	0.8224697796	0.5310560221
16	0.8224697796	0.525274259
17	0.8241289405	0.5191042771
18	0.8312396302	0.5138925438
19	0.8312396302	0.5074894683
20	0.8319506992	0.5024527129
21	0.8298174923	0.4974884161
22	0.8295804693	0.4926484969
23	0.8350319981	0.4885646765
24	0.8355060441	0.4846342727
25	0.8364541361	0.4801036255
26	0.836928182	0.4756356866
27	0.837876274	0.4711249692
28	0.839061389	0.4666906889
29	0.8423797108	0.4633413933
30	0.839061389	0.4597480391
31	0.8407205499	0.4570628996
32	0.8430907798	0.4535145242
33	0.8428537568	0.4502287602
34	0.8438018488	0.447527129
35	0.8445129178	0.4447272981
36	0.8454610097	0.4419993121
37	0.8449869637	0.4385863716
38	0.8447499407	0.435951561
39	0.8447499407	0.433647275
40	0.8456980327	0.4312751319
41	0.8454610097	0.4286089872
42	0.8456980327	0.4266611795
43	0.8445129178	0.4242461451
44	0.8454610097	0.4221428363
45	0.8483052856	0.4197338152
46	0.8471201707	0.4179185417
47	0.8480682626	0.4162065813
48	0.8483052856	0.4140109551
49	0.8475942166	0.4124320285
50	0.8475942166	0.4114568291
51	0.8480682626	0.4094893634
52	0.8485423086	0.4073295215
53	0.8473571936	0.4054952715
54	0.8478312396	0.4037606308
55	0.8485423086	0.4024195506
56	0.8485423086	0.4007221977
57	0.8497274236	0.3989586369
58	0.8494904006	0.3976608407
59	0.8497274236	0.396213913
60	0.8497274236	0.3950661796
61	0.8520976535	0.3937473537
62	0.8520976535	0.3924817052
63	0.8520976535	0.3904734309
64	0.8523346765	0.3890366158
65	0.8518606305	0.388234981
66	0.8528087224	0.3872288705
67	0.8523346765	0.3860519272
68	0.8535197914	0.3848657735
69	0.8535197914	0.3836610724
70	0.8537568144	0.3824369733
71	0.8544678834	0.38174859
72	0.8547049064	0.380722543
73	0.8539938374	0.3795970417
74	0.8542308604	0.378778634
75	0.8539938374	0.3775847282
76	0.8542308604	0.3767390473
77	0.8547049064	0.375818001
78	0.8561270443	0.3746666327
79	0.8563640673	0.3740361277
80	0.8561270443	0.3730558678
81	0.8573121593	0.3721136563
82	0.8561270443	0.3714973947
83	0.8563640673	0.3702485694
84	0.8556529983	0.3695053163
85	0.8558900213	0.3688995768
86	0.8554159753	0.368270106
87	0.8556529983	0.3676020842
88	0.8568381133	0.3670992817
89	0.8566010903	0.366742761
90	0.8589713202	0.3659777983
91	0.8596823892	0.3652478346
92	0.8592083432	0.3645464189
93	0.8603934582	0.3637050338
94	0.8603934582	0.363080475
95	0.8599194122	0.3624730038
96	0.8601564352	0.361713353
97	0.8601564352	0.3614117908
98	0.8611045271	0.3601366655
99	0.8599194122	0.3595891452
100	0.8599194122	0.3591584671
101	0.8596823892	0.3587928915
102	0.8596823892	0.3582948917
103	0.8596823892	0.3577874236
104	0.8596823892	0.3572297976
105	0.8594453662	0.3568857206
106	0.8596823892	0.3565905608
107	0.8596823892	0.3560589783
108	0.8596823892	0.3556019298
109	0.8594453662	0.3551590092
110	0.8599194122	0.3541148917
111	0.8603934582	0.3536709122
112	0.8611045271	0.353201193
113	0.8613415501	0.3526925717
114	0.8615785731	0.3522427968
115	0.8622896421	0.3519960915
116	0.8620526191	0.3516831727
117	0.8620526191	0.3514322752
118	0.8618155961	0.3509359955
119	0.8620526191	0.3505490538
120	0.8622896421	0.3498576526
121	0.8620526191	0.349483483
122	0.8625266651	0.3490513021
123	0.8625266651	0.3485249788
124	0.8627636881	0.3480333741
125	0.864185826	0.3476465427
126	0.8634747571	0.3472976447
127	0.8632377341	0.3468920585
128	0.864185826	0.3462951591
129	0.864422849	0.3459776441
130	0.864422849	0.3455081078
131	0.8634747571	0.3453319336
132	0.864422849	0.3445106745
133	0.865370941	0.3442060629
134	0.864422849	0.3440182119
135	0.864422849	0.3436579584
136	0.864659872	0.3431970336
137	0.864896895	0.3425928434
138	0.865133918	0.3422369814
139	0.8665560559	0.3415979338
140	0.8665560559	0.3414421325
141	0.8667930789	0.3410785889
142	0.8663190329	0.3407683769
143	0.8667930789	0.340393293
144	0.8672671249	0.340175114
145	0.8675041479	0.3399362847
146	0.8682152169	0.3394880511
147	0.8679781939	0.3393467419
148	0.8686892629	0.339094376
149	0.8684522399	0.3387584635
150	0.8689262858	0.3384518898
151	0.8675041479	0.3382827122
152	0.8679781939	0.3379721105
153	0.8684522399	0.3375719595
154	0.8686892629	0.3373088823
155	0.8686892629	0.3371670519
156	0.8684522399	0.3367683198
157	0.8686892629	0.336586609
158	0.8689262858	0.336377018
159	0.8694003318	0.335953935
160	0.8694003318	0.3358045377
161	0.8691633088	0.3354641029
162	0.8689262858	0.3353552699
163	0.8684522399	0.3352179527
164	0.8691633088	0.3347167831
165	0.8694003318	0.3344220033
166	0.8691633088	0.3341882133
167	0.8691633088	0.333946946
168	0.8694003318	0.3337306745
169	0.8696373548	0.3334567032
170	0.8701114008	0.333165212
171	0.8698743778	0.3329705801
172	0.8698743778	0.3327139669
173	0.8694003318	0.3326435823
174	0.8691633088	0.3323848918
175	0.8694003318	0.3321053621
176	0.8691633088	0.331827317
177	0.8691633088	0.331616236
178	0.8696373548	0.3313987114
179	0.8696373548	0.3312374722
180	0.8703484238	0.3310074849
181	0.8703484238	0.330786014
182	0.8708224698	0.3305525863
183	0.8708224698	0.3303015518
184	0.8710594928	0.3300418246
185	0.8708224698	0.329658162
186	0.8712965158	0.3295544768
187	0.8712965158	0.3293695443
188	0.8715335388	0.3291815858
189	0.8712965158	0.3291198586
190	0.8720075847	0.328923879
191	0.8717705617	0.3287959009
192	0.8724816307	0.3283576131
193	0.8724816307	0.3282236614
194	0.8729556767	0.3279792661
195	0.8729556767	0.3278155221
196	0.8729556767	0.3274466417
197	0.8729556767	0.3273062682
198	0.8727186537	0.3271184825
199	0.8731926997	0.3268317391
200	0.8727186537	0.3267527798
201	0.8727186537	0.3265511024
202	0.8727186537	0.3262488684
203	0.8727186537	0.3261057101
204	0.8729556767	0.3257100493
205	0.8727186537	0.3254992162
206	0.8734297227	0.3253043425
207	0.8727186537	0.3250870811
208	0.8729556767	0.3249376461
209	0.8722446077	0.3248081643
210	0.8729556767	0.3247159734
211	0.8729556767	0.324558985
212	0.8727186537	0.3244743907
213	0.8724816307	0.3242910746
214	0.8729556767	0.3239877982
215	0.8731926997	0.3238508951
216	0.8734297227	0.3236374624
217	0.8731926997	0.32347353
218	0.8729556767	0.3232538808
219	0.8729556767	0.3229394783
220	0.8727186537	0.3227166228
221	0.8727186537	0.3225610891
222	0.8724816307	0.32249523
223	0.8724816307	0.3224021361
224	0.8729556767	0.3222826297
225	0.8727186537	0.3220949024
226	0.8727186537	0.3219797652
227	0.8729556767	0.3217114913
228	0.8727186537	0.3216124335
229	0.8731926997	0.3211737458
230	0.8731926997	0.321103092
231	0.8731926997	0.3208471746
232	0.8731926997	0.3206527757
233	0.8734297227	0.3204671833
234	0.8734297227	0.3201502281
235	0.8734297227	0.3199988922
236	0.8736667457	0.319918238
237	0.8739037687	0.3198060225
238	0.8741407917	0.319533068
239	0.8743778146	0.3194420054
240	0.8743778146	0.3193363546
241	0.8743778146	0.3191765261
242	0.8746148376	0.3187878388
243	0.8746148376	0.3187045625
244	0.8746148376	0.3186231147
245	0.8748518606	0.318518562
246	0.8748518606	0.3182204964
247	0.8748518606	0.3180544483
248	0.8748518606	0.3178881483
249	0.8743778146	0.3177647125
250	0.8743778146	0.3175902598
251	0.8748518606	0.3175311837
252	0.8750888836	0.3173039232
253	0.8750888836	0.3171678721
254	0.8750888836	0.3169928653
255	0.8748518606	0.3168757309
256	0.8755629296	0.3167150975
257	0.8755629296	0.3165075018
258	0.8760369756	0.3163788394
259	0.8760369756	0.3162607188
260	0.8757999526	0.3161096102
261	0.8765110216	0.3159867184
262	0.8760369756	0.3159107051
263	0.8757999526	0.3156032035
264	0.8757999526	0.315278756
265	0.8762739986	0.3151693373
266	0.8760369756	0.3149580733
267	0.8760369756	0.3146726088
268	0.8762739986	0.3145131527
269	0.8760369756	0.3142355763
270	0.8760369756	0.3140093284
271	0.8765110216	0.3138331172
272	0.8760369756	0.3136581771
273	0.8755629296	0.3134859958
274	0.8757999526	0.3133888602
275	0.8757999526	0.3132955296
276	0.8757999526	0.3131504138
277	0.8760369756	0.3129952363
278	0.8769850676	0.312878285
