iter	Passed	Remaining
0	1	1724
1	3	1722
2	5	1682
3	6	1666
4	8	1694
5	10	1682
6	12	1710
7	14	1750
8	16	1762
9	17	1781
10	19	1783
11	21	1776
12	23	1769
13	25	1762
14	26	1759
15	28	1749
16	30	1739
17	31	1734
18	33	1729
19	35	1727
20	36	1724
21	38	1723
22	40	1724
23	42	1719
24	44	1717
25	46	1727
26	47	1726
27	49	1724
28	51	1721
29	53	1717
30	54	1716
31	56	1717
32	58	1724
33	60	1725
34	62	1724
35	64	1724
36	66	1719
37	67	1718
38	69	1715
39	71	1711
40	72	1706
41	74	1702
42	76	1700
43	78	1696
44	79	1691
45	81	1683
46	82	1677
47	84	1670
48	85	1662
49	87	1655
50	88	1645
51	89	1637
52	91	1629
53	92	1622
54	93	1614
55	95	1606
56	96	1599
57	98	1593
58	99	1586
59	100	1579
60	102	1573
61	103	1567
62	104	1560
63	106	1554
64	107	1549
65	109	1543
66	110	1537
67	111	1532
68	113	1527
69	114	1522
70	115	1516
71	117	1512
72	118	1507
73	120	1502
74	121	1497
75	122	1492
76	124	1488
77	125	1484
78	126	1480
79	128	1475
80	129	1471
81	131	1467
82	132	1463
83	133	1459
84	135	1455
85	136	1451
86	137	1447
87	139	1443
88	140	1439
89	142	1435
90	143	1432
91	144	1428
92	146	1425
93	147	1421
94	148	1418
95	150	1414
96	151	1411
97	152	1407
98	154	1405
99	155	1402
100	157	1399
101	158	1395
102	159	1393
103	161	1390
104	162	1387
105	164	1383
106	165	1381
107	166	1378
108	168	1376
109	169	1373
110	171	1370
111	172	1367
112	173	1364
113	175	1361
114	176	1359
115	178	1356
116	179	1354
117	180	1351
118	182	1349
119	183	1346
120	185	1344
121	186	1341
122	187	1339
123	189	1336
124	190	1334
125	191	1331
126	193	1329
127	194	1326
128	196	1324
129	197	1321
130	198	1319
131	200	1317
132	201	1315
133	203	1313
134	204	1311
135	206	1309
136	207	1306
137	208	1304
138	210	1302
139	211	1300
140	213	1298
141	214	1296
142	215	1293
143	217	1291
144	218	1289
145	220	1287
146	221	1285
147	222	1282
148	224	1280
149	225	1278
150	226	1276
151	228	1273
152	229	1272
153	231	1270
154	232	1267
155	233	1265
156	235	1263
157	236	1261
158	238	1259
159	239	1257
160	241	1256
161	242	1253
162	243	1251
163	245	1249
164	246	1248
165	248	1245
166	249	1243
167	250	1241
168	252	1239
169	253	1237
170	254	1235
171	256	1233
172	257	1231
173	258	1229
174	260	1227
175	261	1225
176	263	1223
177	264	1221
178	265	1219
179	267	1217
180	268	1215
181	270	1213
182	271	1212
183	272	1210
184	274	1208
185	275	1206
186	277	1204
187	278	1203
188	279	1201
189	281	1198
190	282	1197
191	283	1194
192	285	1193
193	286	1191
194	288	1189
195	289	1187
196	290	1185
197	292	1184
198	293	1182
199	295	1180
200	296	1178
201	297	1176
202	299	1175
203	300	1173
204	302	1171
205	303	1169
206	304	1168
207	306	1166
208	307	1164
209	309	1162
210	310	1160
211	311	1159
212	313	1157
213	314	1155
214	315	1153
215	317	1151
216	318	1149
217	320	1148
218	321	1146
219	322	1144
220	324	1142
221	325	1140
222	326	1138
223	328	1137
224	329	1135
225	331	1133
226	332	1132
227	333	1130
228	335	1129
229	336	1127
230	338	1125
231	339	1123
232	340	1122
233	342	1120
234	343	1119
235	345	1117
236	346	1115
237	347	1113
238	349	1112
239	350	1110
240	352	1109
241	353	1107
242	355	1106
243	356	1104
244	357	1102
245	359	1100
246	360	1099
247	361	1097
248	363	1095
249	364	1093
250	366	1092
251	367	1090
252	368	1089
253	370	1087
254	371	1085
255	372	1084
256	374	1082
257	375	1080
258	377	1079
259	378	1077
260	379	1075
261	381	1074
262	382	1072
263	384	1070
264	385	1069
265	386	1067
266	388	1066
267	389	1064
268	391	1062
269	392	1060
270	393	1059
271	395	1057
272	396	1056
273	397	1054
274	399	1052
275	400	1051
276	402	1049
277	403	1047
278	404	1046
279	406	1044
280	407	1043
281	409	1042
282	410	1040
283	412	1039
284	413	1037
285	415	1036
286	416	1035
287	418	1033
288	419	1032
289	421	1031
290	422	1029
291	424	1028
292	425	1027
293	427	1025
294	428	1023
295	429	1022
296	431	1020
297	432	1018
298	433	1016
299	435	1015
300	436	1013
301	437	1011
302	439	1010
303	440	1008
304	441	1006
305	443	1005
306	444	1003
307	445	1002
308	447	1000
309	448	998
310	450	997
311	451	995
312	452	993
313	454	991
314	455	990
315	456	988
316	458	987
317	459	985
318	460	983
319	462	982
320	463	980
321	465	979
322	466	977
323	467	975
324	469	974
325	470	972
326	471	971
327	473	969
328	474	968
329	476	966
330	477	964
331	478	963
332	480	961
333	481	959
334	482	958
335	484	956
336	485	955
337	486	953
338	488	951
339	489	950
340	490	948
341	492	947
342	493	945
343	494	943
344	496	942
345	497	940
346	499	939
347	500	937
348	501	936
349	503	934
350	504	933
351	505	931
352	507	930
353	508	928
354	510	926
355	511	925
356	512	923
357	514	922
358	515	920
359	517	919
360	518	917
361	519	915
362	521	914
363	522	912
364	523	911
365	525	909
366	526	908
367	528	907
368	529	906
369	531	904
370	532	903
371	534	901
372	535	900
373	537	899
374	538	897
375	540	896
376	541	894
377	542	893
378	544	892
379	545	890
380	547	889
381	548	887
382	549	885
383	551	884
384	552	882
385	554	881
386	555	879
387	556	878
388	558	876
389	559	875
390	560	873
391	562	872
392	563	870
393	564	868
394	566	867
395	567	866
396	569	864
397	570	862
398	571	861
399	573	860
400	574	858
401	576	856
402	577	855
403	578	854
404	580	852
405	581	850
406	582	849
407	584	847
408	585	846
409	587	844
410	588	843
411	589	841
412	591	840
413	592	838
414	594	837
415	595	836
416	597	834
417	598	833
418	599	831
419	601	830
420	602	828
421	604	827
422	605	825
423	606	824
424	608	822
425	609	821
426	611	820
427	612	818
